time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
6.065,13.75,-9.29,-22.9,-4.05,-2.65,-0.03,44.0,43.0,92.0,17.079959016344272,110.6752004741803,229.2704774663717,-5.213489752615647,-46.142195899883326,1.4379270658215626,-10.484894825531915,2.5403609021276554,44.39511662978723,-50.33985666198269,4.610678746797192,108.57120001923106
6.078,13.75,-9.29,-22.9,-4.05,-2.65,-0.03,44.0,43.0,92.0,28.28032178034755,110.6752004741803,277.31334853327945,-8.4669001529382,-48.27097060626722,1.413827729522877,-10.292113974468084,2.410111148936166,44.07404888510638,-50.48685934909402,4.646295687649661,109.19363844591966
6.089,-4.68,-4.88,-17.35,-3.6,-3.48,0.79,44.0,43.0,92.0,28.28032178034755,110.6752004741803,277.31334853327945,-11.720310553260752,-50.39974531265111,1.3897283932241913,-10.099333123404255,2.279861395744677,43.752981140425526,-50.63115916663903,4.680086471536958,109.81157536620329
6.101,-3.85,-6.16,-16.98,-2.78,-3.36,0.89,44.0,43.0,92.0,18.62093714075637,110.6752004741803,290.43083128410586,-14.61223090910302,-53.19526832329864,2.024344249089578,-10.164948714893615,2.211441719148932,43.5097267574468,-50.77275611461772,4.712051098459084,110.42501078008188
6.113,-3.85,-6.16,-16.98,-2.78,-3.36,0.89,44.0,43.0,92.0,18.46858142901073,110.6752004741803,255.01514087278747,-16.84543607278122,-55.89439398875143,2.7392912259505837,-10.21892735319149,2.1250758978723363,43.27165993191488,-50.91527302111062,4.743056452400582,111.03503566399864
6.126,-0.7,-6.78,-14.54,-1.95,-3.42,1.03,44.0,43.0,92.0,18.46858142901073,110.6752004741803,255.01514087278747,-19.07864123645941,-58.59351965420421,3.454238202811589,-10.27290599148936,2.0387100765957404,43.033593106382966,-51.05854673108209,4.772850920776368,111.6417227497164
6.138,-0.7,-6.78,-14.54,-1.95,-3.42,1.03,44.0,43.0,92.0,16.058331171077523,110.6752004741803,233.157922007648,-20.645098095873976,-61.34084399225437,4.28164874906646,-10.282720289361702,1.9436515914893573,42.829736119148926,-51.20257724453213,4.801434503586443,112.24507203723516
6.15,1.08,-9.82,-14.69,-1.34,-3.6,1.3,44.0,43.0,92.0,16.058331171077523,110.6752004741803,233.157922007648,-22.211554955288538,-64.08816833030451,5.109059295321331,-10.292534587234044,1.8485931063829744,42.625879131914886,-51.34674535861463,4.828685325984908,112.84556316304526
6.162,1.47,-10.43,-13.94,-1.14,-2.03,1.34,93.0,-30.0,52.0,17.70296302882656,110.6752004741803,232.35257715324173,-23.287991976629822,-66.98008868614679,6.153363868264373,-10.277392527659574,1.7109125276595702,42.41991908085105,-51.49105107332961,4.854603387971761,113.44319612714668
6.175,1.47,-10.43,-13.94,-1.14,-2.03,1.34,93.0,-30.0,52.0,17.471960393728004,110.69326989478628,153.91250404798092,-24.20376675597988,-68.61081044235785,7.229800889605662,-10.256782502127658,1.564679489361698,42.22447434893616,-51.63514448992592,4.878591109657433,114.0379414436896
