time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_filter,ay_filter,az_filter,gx_filter,gy_filter,gz_filter,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
8.49,-0.78,6.3,-0.3,-85.37071147449265,75.63042895726868,-45.83662361046586,83.0,63.0,56.0,6.355186857992455,122.91914507483791,-0.045185497150226635,0.3649597846749074,-0.01737903736547178,-0.010024385786550427,0.008880663918286284,-0.005382220556537143,-0.28750000000000003,2.0990000000000006,10.286000000000001,169.30902846115828,22.0588751125367,-11.487803792373004,56.54618486084734,5.032906505939291,1.1034714799118228,0.0775065789473684,0.6709407894736843,6.719428947368419,0.07101829761080325,-0.2136580102146812,2.104077959314403
8.5,0.61,6.58,-0.69,-184.4924100321251,103.13240312354819,-89.38141604040842,83.0,63.0,56.0,6.644140275460777,229.4837237515733,0.035337375976459286,0.3811802195493477,-0.03997178594058509,-0.021663437740062,0.01210999625220857,-0.010495330085247428,-0.11400000000000007,2.6189999999999998,10.0365,159.39685860539504,23.72045271841609,-16.67307183830696,55.20945924697042,6.217119801454419,0.3857664523268971,0.06529342105263156,0.7695855263157896,6.714731578947366,0.07223188746537389,-0.2031524899584485,2.2092900704639873
8.51,0.61,6.58,-0.69,-184.4924100321251,103.13240312354819,-89.38141604040842,83.0,63.0,56.0,6.644140275460777,229.4837237515733,0.035337375976459286,0.3811802195493477,-0.03997178594058509,-0.021663437740062,0.01210999625220857,-0.010495330085247428,-0.13250000000000012,3.8949999999999987,9.5285,149.45604085987526,23.233438592554883,-21.17079053008392,52.32069651094109,7.831956113520501,-1.013758351463708,0.07484473684210524,0.8726144736842106,6.703927631578945,0.0732542449792243,-0.19110240079639865,2.314428630713295
8.52,0.02,9.29,0.48,-244.0800207257307,139.22874421679006,-114.59155902616465,83.0,63.0,56.0,9.30241366528064,303.464866390995,0.0011586024910314522,0.5381708570841094,0.02780645978475485,-0.02866032446356028,0.01634849494048157,-0.013455551391342855,-0.5109999999999999,5.5669999999999975,8.9045,135.7050537767355,26.155523347722074,-25.35338243453893,49.43193377491176,9.446792425586585,-2.4132831552543133,0.08439605263157893,0.9756434210526317,6.693123684210524,0.07442615599030462,-0.17743909522160642,2.419398023891965
8.54,-0.35,8.73,0.72,-280.17636181897257,134.64508185574346,-112.87268564077219,83.0,63.0,56.0,8.76662991120305,330.7088371268846,-0.02027554359305041,0.5057299873352289,0.041709689677132275,-0.03289882315183328,0.015810272884827857,-0.013253718120472713,-0.908,7.210999999999997,8.2925,120.14924963893365,28.848424984836946,-29.45003066972431,45.61015450302203,11.626821446875796,-4.207545724216628,0.08470921052631578,1.1211052631578948,6.700639473684208,0.07574762049861487,-0.1621625732340718,2.524198249999998
8.55,-0.35,8.73,0.72,-280.17636181897257,134.64508185574346,-112.87268564077219,83.0,63.0,56.0,8.76662991120305,330.7088371268846,-0.02027554359305041,0.5057299873352289,0.041709689677132275,-0.03289882315183328,0.015810272884827857,-0.013253718120472713,-1.0150000000000001,8.862499999999999,7.667,101.49947340742533,33.0596647790485,-32.17158019659572,41.22318252190917,13.735079965406516,-5.9748943546445075,0.07922894736842104,1.2577986842105264,6.711913157894735,0.07707398840027692,-0.14460842503462581,2.6291161575484745
8.56,-0.34,5.95,0.53,-299.0839690582897,118.02930579694959,-104.27831871380984,83.0,63.0,56.0,5.983226554293261,338.01790681611635,-0.019696242347534688,0.344684241081857,0.030702966012333483,-0.03511898913140485,0.013859217933083142,-0.012244551766121999,-1.1215,10.375,7.032000000000001,81.9043168139512,36.44011577032036,-34.463411377119016,36.836210540796316,15.843338483937234,-7.742242985072387,0.0737486842105263,1.394492105263158,6.723186842105261,0.07831454691828246,-0.1249139456371189,2.734210587257616
8.57,-0.05,3.96,0.08,-303.6676314193363,110.58085446024887,-101.98648753328652,46.0,25.0,100.0,3.9611235779763296,338.88552548665433,-0.0028965062275786305,0.2294032932242275,0.004634409964125809,-0.035657211187058564,0.012984607092645855,-0.011975440738295142,-1.0924999999999998,11.157499999999999,6.189,57.410371072108475,43.54479242994257,-36.325524211294194,32.15318523580468,17.691428929968417,-9.375021922828093,0.06842499999999999,1.4876565789473686,6.731485526315788,0.07946929605263149,-0.10307913504155103,2.839481539127422
8.59,-0.05,3.96,0.08,-303.6676314193363,110.58085446024887,-101.98648753328652,46.0,25.0,100.0,3.9611235779763296,338.88552548665433,-0.0028965062275786305,0.2294032932242275,0.004634409964125809,-0.035657211187058564,0.012984607092645855,-0.011975440738295142,-0.8484999999999999,10.946,5.679,25.238790875512784,48.09980690123261,-39.247608966461385,27.398389428054543,19.42289230901705,-10.971915609204553,0.06764210526315788,1.5496618421052633,6.732738157894735,0.08054068749999992,-0.0797855649238225,2.9448824309210506
8.6,0.82,0.22,-0.21,-306.53242039499037,110.58085446024887,-107.14310768946395,46.0,25.0,100.0,0.8745856161634491,343.03045878132446,0.047502702132289534,0.012744627401345974,-0.012165326155830247,-0.035993599971842136,0.012984607092645855,-0.01258094055090557,-0.5609999999999999,10.5475,5.1545000000000005,-7.076028769865653,52.654821372522655,-42.42752472943745,22.643593620304408,21.154355688065685,-12.568809295581012,0.06685921052631577,1.611667105263158,6.733990789473682,0.08159982046398884,-0.05552112292243746,3.0503029362880865
8.68,-4.05,-2.97,-14.56,-116.3104324115571,-48.70141258611997,59.01465289847479,46.0,25.0,100.0,15.40185053816586,139.22167048406774,-0.23461700443386904,-0.17205246991817064,-0.8434626134708971,-0.013657384662212998,-0.005718609341320713,0.006929608966541571,-0.388,9.315,4.1375,-34.74989027468441,50.706764869077844,-39.39084841524409,17.843941248330218,22.88581906711432,-14.246444797560775,0.0796986842105263,1.6151118421052633,6.7307026315789455,0.08264669494459825,-0.030285809037395917,3.1557430552285295
